Drug Name,Indication,Phase,Status,Completion Date,Sponsor,Efficacy (%),Safety Profile
Semaglutide,Type 2 Diabetes,Phase 3,Completed,2023-06-15,Novo Nordisk,87.3,Favorable
Tirzepatide,Obesity,Phase 3,Active,2024-12-30,Eli Lilly,91.5,Under Review
Bempedoic Acid,Hypercholesterolemia,Phase 4,Completed,2023-03-22,Esperion,78.9,Acceptable
Inclisiran,LDL-C Reduction,Phase 3,Completed,2023-09-10,Novartis,82.1,Favorable
Finerenone,CKD with T2D,Phase 3,Completed,2023-11-05,Bayer,76.4,Good
Mavacamten,HCM,Phase 3,Active,2024-08-15,MyoKardia,84.7,Monitoring
Vutrisiran,hATTR Amyloidosis,Phase 3,Completed,2023-07-20,Alnylam,89.2,Favorable
Tofersen,ALS (SOD1),Phase 3,Active,2024-10-12,Biogen,68.5,Acceptable
Evinacumab,HoFH,Approved,Marketed,2023-01-08,Regeneron,92.8,Excellent
Zanubrutinib,CLL/SLL,Approved,Marketed,2022-12-15,BeiGene,88.3,Good
